21634,9096,3374,255,5034
12753,3848,3057,69,5052
12115,3680,2929,54,4709
12220,3792,2949,55,4724
12146,3712,2957,60,4675
12052,3640,2943,59,4715
12185,3746,2941,59,4702
12088,3683,2971,58,4686
28224,1989,0,17804,7578
14897,6387,3009,60,4735
12384,3986,2964,60,4642
11995,3626,2910,58,4715
32390,3788,0,20229,7502
12255,3725,2983,55,4773
31832,3649,0,19931,7455
12354,3810,3080,54,4732
32130,3724,0,20209,7447
12084,3720,2964,54,4645
12071,3675,2942,54,4705
12162,3684,2994,53,4669
12015,3645,2938,55,4703
12035,3719,2974,54,4624
32091,3772,0,20083,7475
12007,3655,2928,54,4695
12062,3697,2957,53,4641
11994,3599,2931,55,4704
12235,3866,2968,53,4667
10343,1950,2948,55,4708
12075,3682,3017,54,4649
32036,3764,0,19959,7448
12100,3638,2964,54,4732
12056,3696,3015,56,4630
31963,3677,0,20067,7452
31781,3647,0,19896,7488
12158,3749,2957,55,4728
12242,3817,2977,54,4635
12120,3732,2967,52,4698
18631,9054,3948,55,4819
12164,3667,2938,55,4699
12040,3659,2936,55,4701
12166,3828,2977,55,4647
11977,3664,2934,53,4680
10428,1985,3033,55,4663
12008,3637,2930,54,4708
12029,3704,2971,55,4646
35861,5563,0,20270,9257
12039,3655,2979,61,4696
12001,3677,2945,55,4676
12036,3694,2961,53,4629
11978,3603,2942,53,4695
12122,3714,3028,53,4642
12161,3787,2940,53,4705
32152,3742,0,20189,7474
12059,3678,2944,54,4721
32049,3757,0,20079,7450
31861,3620,0,20058,7474
10308,1921,2962,59,4718
12000,3596,2932,59,4725
11941,3660,2961,59,4620
12020,3595,2939,59,4745
10220,1937,2962,59,4625
12043,3712,2925,59,4711
14290,5906,3004,60,4636
11970,3571,2922,60,4762
12025,3700,2960,59,4609
32270,3737,0,20367,7449
11994,3603,2938,54,4707
11996,3674,2959,55,4663
11926,3606,2938,53,4678
12000,3665,2954,55,4624
12002,3611,2928,97,4690
32131,3694,0,20202,7473
11975,3607,2930,54,4686
32019,3630,0,20177,7485
12098,3713,2954,54,4720
12076,3720,2968,55,4634
11984,3603,2922,83,4690
12181,3656,2969,54,4844
11954,3626,2939,53,4686
12004,3653,2962,53,4682
41279,3624,0,29412,7516
12012,3609,2969,54,4715
12019,3680,2966,54,4663
11968,3605,2960,54,4695
12008,3678,2972,57,4645
11992,3615,2928,54,4716
10276,1975,2964,55,4634
11992,3603,2970,54,4710
12024,3670,2963,53,4647
11965,3619,2929,53,4726
12062,3703,2970,54,4690
12270,3791,3104,55,4668
29167,3618,0,17379,7456
12031,3636,2962,59,4677
12069,3717,2931,58,4686
12028,3657,2986,57,4629
12000,3653,2936,60,4706
12015,3666,2956,59,4682
10311,1898,2962,59,4708
11998,3673,2969,59,4639
